flow_name,flow_label,retire_index,total_retire,step,cycle,pc,inst,opcode,regwr,rd,rd_data,memwr,mem_addr,mem_data,illegal,stall,redirect,fwdA,fwdB
pipeline_spike,Pipeline TB,214,490,218,281,0x800000e0,0x00400713,ALUI,1,14,0x00000004,0,0x00000004,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,215,490,219,282,0x800000e4,0xfec42783,LOAD,1,15,0x00000000,0,0x8000ffec,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,216,490,220,284,0x800000e8,0x40f707b3,ALUR,1,15,0x00000004,0,0x00000004,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,217,490,221,285,0x800000ec,0xfe842703,LOAD,1,14,0x00000004,0,0x8000ffe8,0x80010000,0,0,0,0,0
pipeline_spike,Pipeline TB,218,490,222,287,0x800000f0,0xf2f74ee3,BRANCH,0,29,0x00000008,0,0x00000008,0x00000004,0,0,0,0,0
pipeline_spike,Pipeline TB,219,490,223,288,0x800000f4,0xfec42783,LOAD,1,15,0x00000000,0,0x8000ffec,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,220,490,224,290,0x800000f8,0x00178793,ALUI,1,15,0x00000001,0,0x00000001,0x8000000c,0,0,0,0,0
pipeline_spike,Pipeline TB,221,490,225,291,0x800000fc,0xfef42623,STORE,0,12,0x8000ffec,1,0x8000ffec,0x00000001,0,0,0,0,0
pipeline_spike,Pipeline TB,222,490,226,292,0x80000100,0xfec42703,LOAD,1,14,0x00000001,0,0x8000ffec,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,223,490,227,293,0x80000104,0x00300793,ALUI,1,15,0x00000003,0,0x00000003,0x00000000,0,0,0,0,0
pipeline_spike,Pipeline TB,224,490,228,294,0x80000108,0xf0e7dee3,BRANCH,0,29,0x00000004,0,0x00000004,0x00000001,0,0,0,0,0
pipeline_spike,Pipeline TB,225,490,229,297,0x80000024,0xfe042423,STORE,0,8,0x8000ffe8,1,0x8000ffe8,0x00000000,0,0,0,0,0
