step,pc,inst,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
38,0x80000068,0x13478713,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000134,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
39,0x8000006c,0xfe842783,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000134,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
40,0x80000070,0x00279793,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000134,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
41,0x80000074,0x00f707b3,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000134,0x80000134,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
42,0x80000078,0x0007a783,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000134,0x00000009,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
43,0x8000007c,0xfef42223,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000134,0x00000009,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
44,0x80000080,0xfe842783,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000134,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
45,0x80000084,0x00178793,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000134,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
46,0x80000088,0x80000737,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000000,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
47,0x8000008c,0x13470713,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000134,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
48,0x80000090,0x00279793,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000134,0x00000004,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
49,0x80000094,0x00f707b3,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x80000134,0x80000138,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
50,0x80000098,0x0007a703,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x00000003,0x80000138,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
51,0x8000009c,0x800007b7,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x00000003,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
52,0x800000a0,0x13478693,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x00000003,0x80000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
53,0x800000a4,0xfe842783,0x00000000,0x8000000c,0x8000ffe0,0x00000000,0x00000000,0x80000000,0x00000000,0x00000000,0x80010000,0x00000000,0x00000000,0x00001020,0x00000000,0x80000134,0x00000003,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
