baud_sel,baud_rate,jitter_permille,jitter_percent,nominal_bit_ns,jitter_ns,short_bit_ns,long_bit_ns,short_baud_rate,long_baud_rate,short_baud_error_percent,long_baud_error_percent,passed,xsim_returncode,sim_wall_time_s,failure_reason
1,14400,360,36.0,69444.44444444444,24999.999999999996,44444.44444444444,94444.44444444444,22500.000000000004,10588.235294117649,56.25000000000002,-26.4705882352941,1,0,2.5937154079438187,
1,14400,370,37.0,69444.44444444444,25694.44444444444,43750.0,95138.88888888888,22857.14285714286,10510.94890510949,58.73015873015874,-27.00729927007299,1,0,2.5408913149731234,
1,14400,380,38.0,69444.44444444444,26388.888888888887,43055.55555555555,95833.33333333333,23225.80645161291,10434.782608695652,61.290322580645196,-27.536231884057973,1,0,2.7227025739848614,
1,14400,390,39.0,69444.44444444444,27083.333333333332,42361.11111111111,96527.77777777777,23606.557377049183,10359.712230215828,63.934426229508226,-28.057553956834525,1,0,2.5232995539554395,
1,14400,400,40.0,69444.44444444444,27777.777777777777,41666.66666666666,97222.22222222222,24000.000000000007,10285.714285714286,66.66666666666671,-28.57142857142857,1,0,2.5578026979928836,
1,14400,410,41.0,69444.44444444444,28472.22222222222,40972.22222222222,97916.66666666666,24406.77966101695,10212.765957446809,69.49152542372883,-29.078014184397162,1,0,2.472814607026521,
1,14400,420,42.0,69444.44444444444,29166.666666666664,40277.777777777774,98611.1111111111,24827.586206896554,10140.845070422536,72.41379310344828,-29.57746478873239,1,0,2.5005682570044883,
1,14400,430,43.0,69444.44444444444,29861.11111111111,39583.33333333333,99305.55555555555,25263.157894736843,10069.930069930071,75.43859649122808,-30.069930069930063,1,0,2.4370841520139948,
1,14400,440,44.0,69444.44444444444,30555.55555555555,38888.88888888889,99999.99999999999,25714.285714285714,10000.000000000002,78.57142857142856,-30.555555555555546,0,0,2.5481028300127946,Fatal: [834535000][UART_TB][FATAL] UART APB wrapper directed test failed
1,14400,450,45.0,69444.44444444444,31249.999999999996,38194.44444444444,100694.44444444444,26181.818181818187,9931.034482758621,81.81818181818186,-31.034482758620683,0,0,2.4473996279994026,Fatal: [834535000][UART_TB][FATAL] UART APB wrapper directed test failed
1,14400,460,46.0,69444.44444444444,31944.44444444444,37500.0,101388.88888888888,26666.666666666668,9863.013698630139,85.18518518518519,-31.506849315068486,0,0,2.537678660999518,Fatal: [834535000][UART_TB][FATAL] UART APB wrapper directed test failed
1,14400,470,47.0,69444.44444444444,32638.888888888883,36805.555555555555,102083.33333333331,27169.811320754718,9795.918367346942,88.67924528301887,-31.97278911564624,0,0,2.5114657530211844,Fatal: [834535000][UART_TB][FATAL] UART APB wrapper directed test failed
1,14400,480,48.0,69444.44444444444,33333.33333333333,36111.11111111111,102777.77777777777,27692.307692307695,9729.72972972973,92.30769230769234,-32.432432432432435,0,0,2.579198986000847,Fatal: [834535000][UART_TB][FATAL] UART APB wrapper directed test failed
1,14400,490,49.0,69444.44444444444,34027.777777777774,35416.666666666664,103472.22222222222,28235.29411764706,9664.429530201343,96.07843137254903,-32.88590604026845,0,0,2.4818746030214243,Fatal: [834535000][UART_TB][FATAL] UART APB wrapper directed test failed
1,14400,500,50.0,69444.44444444444,34722.22222222222,34722.22222222222,104166.66666666666,28800.000000000004,9600.0,100.00000000000004,-33.333333333333336,0,0,2.6428755359956995,Fatal: [834535000][UART_TB][FATAL] UART APB wrapper directed test failed
2,19200,0,0.0,52083.333333333336,0.0,52083.333333333336,52083.333333333336,19200.0,19200.0,0.0,0.0,1,0,2.616294841049239,
2,19200,10,1.0,52083.333333333336,520.8333333333334,51562.5,52604.16666666667,19393.939393939392,19009.90099009901,1.0101010101009944,-0.990099009900991,1,0,2.5674693880137056,
2,19200,20,2.0,52083.333333333336,1041.6666666666667,51041.66666666667,53125.0,19591.836734693876,18823.529411764706,2.0408163265305923,-1.9607843137254832,1,0,2.4513705719728023,
2,19200,30,3.0,52083.333333333336,1562.5,50520.833333333336,53645.833333333336,19793.81443298969,18640.776699029124,3.092783505154628,-2.912621359223311,1,0,2.3801517100073397,
2,19200,40,4.0,52083.333333333336,2083.3333333333335,50000.0,54166.66666666667,20000.0,18461.53846153846,4.166666666666674,-3.8461538461538436,1,0,2.4119582299608737,
2,19200,50,5.0,52083.333333333336,2604.166666666667,49479.16666666667,54687.5,20210.526315789473,18285.714285714286,5.263157894736836,-4.761904761904756,1,0,2.475498234969564,
2,19200,60,6.0,52083.333333333336,3125.0,48958.333333333336,55208.333333333336,20425.531914893618,18113.20754716981,6.382978723404253,-5.660377358490565,1,0,2.45959328499157,
2,19200,70,7.0,52083.333333333336,3645.8333333333335,48437.5,55729.16666666667,20645.16129032258,17943.92523364486,7.526881720430101,-6.542056074766355,1,0,2.5152863229741342,
